Key,Value
exteriorAutomapToolTipPanelCompass,滑鼠左鍵：聚焦玩家位置（熱鍵：{0}）\r滑鼠右鍵：重設視圖（熱鍵：{1}）
loading,請稍候...
classicSave,經典
cancel,取消
renameSave,重新命名
deleteSave,刪除
switchChar,切換角色
savePrompt,儲存遊戲
loadPrompt,讀取遊戲
saveButton,儲存
loadButton,讀取
enterSaveName,輸入存檔名稱
selectSaveName,選擇存檔
confirmDeleteSave,確定要刪除存檔嗎？
confirmOverwriteSave,要覆寫此存檔嗎？
youMustEnterASaveName,你必須輸入存檔名稱。
youMustSelectASaveName,你必須選擇存檔名稱。
noSavesFound,找不到存檔。要讀取經典版存檔嗎？
cannotSaveNow,你現在無法儲存。
addEffect,加入效果
buySpell,購買法術
newSpell,新法術
exit,離開
casterOnly,僅施法者
byTouch,接觸
singleTargetAtRange,遠距單一目標
areaAroundCaster,施法者周圍範圍
areaAtRange,遠距範圍
fireBased,火焰屬性
coldBased,寒冷屬性
poisonBased,毒素屬性
shockBased,電擊屬性
magicBased,魔法屬性
selectIcon,選擇圖示
nextIcon,下一個圖示
previousIcon,上一個圖示
nameSpell,為法術命名
enterSpellName,輸入法術名稱：
noEffectsError,你必須為此法術加入至少一個效果。
deleteSpell,要刪除此法術嗎？
sortSpells,要排序法術嗎？
effectNotFoundError,<找不到效果>
noItemToActivate,你沒有可使用的魔法物品
Akatosh,阿卡托什
Arkay,阿凱
Dibella,迪貝拉
Julianos,朱利安諾斯
Kynareth,凱娜瑞斯
Mara,瑪拉
Stendarr,斯丹達爾
Zenithar,澤尼薩爾
removeKeybind,確定要移除 {0}（「{1}」）的按鍵綁定嗎？
nord,諾德
settingsNotApplied,注意：部分變更可能要重新啟動遊戲後才會套用。
doneButton,完成
temple,神殿
unknownPowers,未知能力
cannotBeRepaired,這無法修理。
youNeverAwaken,你再也沒有醒來。
modSettings,模組設定
gameEffectsSettings,效果設定
antialiasing,反鋸齒
ambientOcclusion,環境光遮蔽
bloom,光暈
motionBlur,動態模糊
vignette,暗角
depthOfField,景深
antialiasingTip,讓畫面看起來更平滑
enable,啟用
fxaa,FXAA
smaa,SMAA
taa,TAA
none,無
method,方法
fxaaFastMode,FXAA 快速模式
low,低
medium,中
high,高
smaaQuality,SMAA 品質
taaSharpness,TAA 銳利度
disabled,已停用
setPageDefaults,還原本頁預設
ambientOcclusionTip,讓縫隙與孔洞變暗
scalableAmbientObscurance,可縮放環境遮蔽
multiScaleVolumetricObscurance,多尺度體積遮蔽
scalableAmbient,可縮放環境
multiScaleVolumetric,多尺度體積
intensity,強度
lowest,最低
ultra,極致
radius,半徑
quality,品質
thickness,厚度
bloomTip,讓明亮區域發光
threshold,閾值
diffusion,擴散
bloomFastMode,光暈快速模式
motionBlurTip,模擬物體移動快過攝影機曝光
shutterAngle,快門角度
sampleCount,取樣數
vignetteTip,讓螢幕邊緣變暗
smoothness,平滑度
roundness,圓度
rounded,圓角
depthOfFieldTip,模擬鏡頭對焦
focusDistance,對焦距離
aperture,光圈
focalLength,焦距
maxBlurSize,最大模糊大小
small,小
large,大
veryLarge,非常大
ditherTip,加入雜訊以減少色帶等大範圍圖案
dither,抖動
colorBoost,色彩增強
colorBoostTip,讓靠近攝影機的色彩更明亮
dungeonScale,地城縮放
interiorScale,室內縮放
exteriorScale,室外縮放
dungeonFalloff,地城衰減
retroMode,復古模式
retroModeTip,以較低解析度繪製世界
mode,模式
retroModeOff,關
retroMode320x200,320x200
retroMode640x400,640x400
off,關
posterizationFull,色調分離（完整）
posterizationMinusSky,色調分離（不含天空）
palettizationFull,調色盤化（完整）
palettizationMinusSky,調色盤化（不含天空）
postProcess,後製
retroModeAspectCorrection,長寬比校正
FourThree,4:03
SixteenTen,16:10
notEnoughSpellpointsLeft,你剩下的法術點數不足。
totalIdentified,{0}／{1} 已鑑定。
dispelMagicSuccess,驅散魔法成功...
dispelMagicFailed,驅散魔法失敗...
smallerDungeonsChanged,在地城裡面時變更了縮小地城。正在將玩家移至地城出口。
youNote,你記下： 
customName,自訂名稱： 
StoresA,"%ef的
%cn最佳
必備
%ef領主的
冒險者的
古怪
%ef的極品
特價
古董
皇帝的
%cn
%ef綜合
高級
%ef優質
一流
%rt的
冠軍
%ef醫師的
%ef夫人的"
GeneralStoresB,"補給
補給店
裝備
裝備店
用具
用具店
雜貨
糧草
商品
雜貨店
零售店
貿易站
市集
貨品
倉庫"
WeaponStoresB,"武器
兵器
軍械
武裝
軍械庫
兵器匠
刀刃
鐵匠
金屬匠
武器匠"
ArmorStoresB,"軍械庫
鎧甲
防護
盔甲
盾牌
神盾
金屬工坊
鐵匠
金屬匠
盔甲匠
鐵匠
鐵匠鋪"
BookStoresB,"書籍
書店
書鋪
書商
圖書中心
賣書人
書攤
古本書籍"
LibraryStoresB,"圖書館
圖書室
學堂
公共圖書館
史學家
圖書室
神學院
學園"
ClothingStoresB,"服裝
衣服
衣飾
服飾
戲服
法衣
打扮
時尚
裁縫
套裝
華服"
AlchemyStoresB,"藥草
香草
香料
偏方
解毒劑
物理
藥品
藥劑
酊劑
藥劑品
靈藥
藥房
藥劑師
油膏
藥用製劑
藥草園
藥劑製品
化學
化學品
實驗製品
煉金化學
煉金溶液
冶金"
GemStoresB,"寶石
寶石原石
珠寶
珠寶飾品
貴石
珠寶細工
珠寶商
珠寶盒
珠寶店
寶石切割"
PawnStoresB,"當鋪
當舖商
二手補給
二手裝備
二手用具
二手商品
典當行
古董"
FurnitureStoresB,"家具
陳設
室內設計
家具店
裝飾
木工
木作
工藝
木製品"
LivestockStoresB,"牲畜
繁殖場
農場動物
野獸
生物
獵物
動物界
動物群
動物園"
TavernsA,"女王的
國王的
骯髒的
黑色
鼴鼠與
綠色
紅色
金色
白色
銀色
深紅的
飛翔的
舞蹈的
歡笑的
不安的
口渴的
不幸的
幸運的
惡魔的
生鏽的
嚎叫的
尖叫的
蝙蝠與
獅子與
山貓與
矮人與
海狸與
狐狸與
老鼠與
豬與
羽毛與
蟾蜍與
老鼠與
野蠻的
惡棍與
死亡的"
TavernsB,"裂谷
酒杯
深坑
貓
狗
哥布林
獅鷲
龍
食人魔
巨人
巨靈
狼
獵人
匕首
顱骨
劍
衛兵
地城
頭盔
城堡
酒壺
鳥
侏儒
刺蝟
麝香鼠
土撥鼠
蠍子
獾
山羊
豪豬
祭司
幼鹿
雄鹿
野蠻人
惡棍
仙子"
houseForSale,待售房屋
theBankOf,銀行：
daggerfall,匕首雨
wayrest,途歇城
sentinel,哨兵城
palace,宮殿
regionNames,"阿利克爾沙漠
龍尾山脈
格倫角丘陵
匕首雨崖地
約爾斯墓穴地
德溫寧
拉維尼亞森林
惡魔岩
馬雷克納森林
巴爾菲拉島
班薩
達克弗隆
西伊利亞克灣諸島
塔瑪麗琳角
萊恩林懸崖
比喬賽河
沃斯加里安山脈
匕首雨
格倫角
貝托尼
哨兵城
安蒂克萊爾
萊恩林
途歇城
高岩村莊
落錘省村莊
奧辛紐姆地區
斯凱芬頓林地
落錘省海灣沿岸
落錘省海岸
高岩海灣沿岸
高岩海岸
北沼
梅內維亞
阿爾凱爾
科格里亞
博里安
坎布里亞
弗里吉亞斯
烏爾維烏斯
伊卡隆
戴尼亞
沙爾戈拉
阿比邦-戈拉
凱魯
波塔戈
默克瓦薩
阿亞索菲亞
提戈努斯
科贊塞特
薩塔卡拉姆
托坦布
莫諾斯
以弗所
桑塔基
安蒂菲洛斯
貝爾加馬
加沃東
圖盧恩
格倫姆布拉沼地
伊萊森丘陵
西比亞德斯"
ocean,海洋
unknownUpper,未知
switchToRegion,切換至：{0}地區
locationInRegionProvince,{0}，位於{1}省
dayNames,"桑達斯
蒙德達斯
提爾達斯
米德達斯
圖爾達斯
弗雷達斯
洛爾達斯"
monthNames,"晨星
日出
首種
雨手
次種
年中
日高
末種
爐火
霜降
日暮
晚星"
birthSignNames,"儀式
戀人
領主
法師
暗影
坐騎
學徒
戰士
貴婦
高塔
侍靈
盜賊"
seasonNames,"秋季
春季
夏季
冬季"
longDateTimeFormatString,"{0:00}:{1:00}:{2:00} 於{3}，{6} {4}{5}日，3E{7}"
dateTimeFormatString,"{0:00}:{1:00}:{2:00} 於{3}{4}日{5}，3E{6}"
dateFormatString,{0} {3}的{1}{2}日
ingredientFormatString,{0} {1}
longWeaponNameFormatString,{0} {1}
longArmorNameFormatString,{0} {1}
strRatings,"可悲
虛弱
無力
低於平均
約略平均
頗為強壯
體格健壯
非常強壯
強大
超人"
intRatings,"如植物
愚鈍
半智
遲鈍
約略平均
狡猾
頗為聰明
非常聰明
卓越
天才"
wilRatings,"空洞
順從
被動
分心
不堅持
穩定
自信
意志堅強
非常專注
開悟"
agiRatings,"笨拙
手忙腳亂
不靈活
彆扭
約略平均
輕快
靈巧
手法嫻熟
非常敏捷
雜技水準"
endRatings,"病弱
可憐
不穩
反覆
約略平均
高於平均
非常健康
強健
巨大
不朽"
perRatings,"令人厭惡
不受歡迎
默默無聞
不起眼
平凡
有趣
迷人
引人注目
有威嚴
有魅力"
spdRatings,"遲緩
懶散
非常慢
慢
約略平均
高於平均
快
健步如飛
迅如閃電
流星般"
lucRatings,"受詛咒
絕望
不運
不幸
約略平均
頗為幸運
幸運
走運
非常吉兆
受神眷顧"
Mage,法師
Spellsword,法劍士
Battlemage,戰鬥法師
Sorcerer,術士
Healer,治療師
Nightblade,夜刃
Bard,吟遊詩人
Burglar,竊賊
Rogue,流氓
Acrobat,雜技者
Thief,盜賊
Assassin,刺客
Monk,僧侶
Archer,弓箭手
Ranger,遊俠
Barbarian,野蠻人
Warrior,戰士
Knight,騎士
Custom,自訂
darkBrotherhoodRanks,"學徒
熟手
執行者
殺手
處刑者
懲罰者
終結者
刺客
黑暗兄弟
刺客大師"
fightersRanks,"學徒
熟手
劍士
保護者
防禦者
守衛
守護者
勇士
戰士
大師"
knightlyOrderRanks,"志願者
侍從
豪俠
騎士兵
守護者
騎士兄弟
指揮官
元帥
總管
聖騎士"
magesRanks,"學徒
熟手
喚魔師
召喚師
魔術師
附魔師
術士
巫師
巫師大師
大法師"
templeRanks,"新手
入門者
侍僧
能者
副祭司
門徒
修士
占卜師
大師
大祭司"
thievesRanks,"學徒
熟手
小偷
騙子
強盜
土匪
盜賊
頭目
主謀
盜賊大師"
darkSister,黑暗姊妹
nonMember,非成員
knightSister,騎士姊妹
matriarch,女祭司長
sister,姊妹
daedricSkill,迪德拉語
orcishSkill,獸人語
midDateTimeFormatString,{0:00}:{1:00}:{2:00} {3:00} {4:00} 3E{5}
hthDamageFormatString,{0} 傷害：{1}-{2}
affiliationFormatString,{0}（聲望：{1}）
answers_5404,"弓
弓箭
弩
弓
弩"
answers_5406,"一
1"
answers_5423,"恩人
那位恩人"
answers_5424,"閉嘴
住口
安靜"
answers_5464,"是
好
我同意
y
同意
完成
行
okay
當然
嗯"
random,隨機
nordSurnameImmutableSuffix,sen
confirmDefaultControls,確定要設為預設操作嗎？
saveLoadPromptFormat,{0}：「{1}」
cityWall,城牆
